id,c_holder,c_cates,c_author,c_lang,record_type,status,number_of_pages,url
4439,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.24 BnF_fr20506_f24",1527 - 1529,"Claude Dodieu, sieur de Vely [Velly] Italy Florence",Cleartext: French Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4439
4438,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.15 BnF_fr20506_f15",1527 - 1529,"Claude Dodieu, sieur de Vely [Velly] Italy Florence",Cleartext: French Plaintext: French,Cipher,Decrypted,3,https://de-crypt.org/decrypt-web/RecordsView/4438
4437,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.8 BnF_fr20506_f08",1528 - 1528,"Claude Dodieu, sieur de Vely [Velly] Italy Florence",Cleartext: French Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4437
4436,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.249 BnF_fr20506_f249",1579 - 1579,"Jacques Nau, secretary of Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4436
4435,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.247 BnF_fr20506_f247",1583 - 1583,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,2,https://de-crypt.org/decrypt-web/RecordsView/4435
4434,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.245 BnF_fr20506_f245",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4434
4433,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.243 BnF_fr20506_f243",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4433
4432,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.241 BnF_fr20506_f241",1579 - 1579,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4432
4431,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.239 BnF_fr20506_f239",1580 - 1580,"Mary, Queen of Scots England Shffield?",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4431
4430,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.237 BnF_fr20506_f237",1580 - 1580,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4430
4429,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.235 BnF_fr20506_f235",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4429
4428,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.233 BnF_fr20506_f233",1579 - 1579,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4428
4427,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.231 BnF_fr20506_f231",1580 - 1580,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4427
4426,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.229 BnF_fr20506_f229",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4426
4425,"Paris ,Michel de Castelnau, seigneur de La Mauvissiere BnF_fr20506_f227",1578 - 1578,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4425
4424,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.225 BnF_fr20506_f225",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,2,https://de-crypt.org/decrypt-web/RecordsView/4424
4423,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.223 BnF_fr20506_f223",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4423
4422,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.221 BnF_fr20506_f221",1584 - 1584,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4422
4421,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.198 BnF_fr20506_f198",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4421
4420,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.194 BnF_fr20506_f194",1581 - 1581,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4420
4419,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.190 BnF_fr20506_f190",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4419
4418,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.185 BnF_fr20506_f185",1581 - 1581,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4418
4417,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.181 BnF_fr20506_f181",1580 - 1580,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4417
4416,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.179 BnF_fr20506_f179",1580 - 1580,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4416
4415,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.174 BnF_fr20506_f174",1583 - 1583,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4415
4414,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.170 BnF_fr20506_f170",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,,https://de-crypt.org/decrypt-web/RecordsView/4414
4413,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.165 BnF_fr20506_f165",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4413
4412,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.163 BnF_fr20506_f163",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4412
4411,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.158 BnF_fr20506_f158",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4411
4410,"Paris ,Bibliothèque nationale de France, Français 20506, f.153 BnF_fr20506_f153",1583 - 1583,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4410
4409,"Paris ,Bibliothèque nationale de France (BnF), Français 20506, f.151 BnF_fr20506_f151",1582 - 1582,"Mary, Queen of Scots England Sheffield",Cleartext: Plaintext: French,Cipher,Decrypted,,https://de-crypt.org/decrypt-web/RecordsView/4409
4408,"London ,British Library, Add MS 32276 f 127. BL_Add_MS_32276_127",1794 -,Western manuscripts Prufsia,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4408
4407,"London ,British Library, Add MS 32276 f 125. BL_Add_MS_32276_125",1791 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4407
4406,"London ,British Library, Add MS 32276 f 123. BL_Add_MS_32276_123",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4406
4405,"London ,British Library, Add MS 32276 f 121. BL_Add_MS_32276_121",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4405
4404,"London ,British Library, Add MS 32276 f 119. BL_Add_MS_32276_119",1789 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4404
4403,"London ,British Library, Add MS 32276 f 117. BL_Add_MS_32276_117",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4403
4402,"London ,British Library, Add MS 32276 f 115. BL_Add_MS_32276_115",1789 -,Western manuscripts,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4402
