table	code	root	start_line	start_digit	end_line	end_digit	grade	qualification
B	31057	Euer	V8	33	V8	37	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31087	ho	V8	38	V8	42	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31286	ch	V8	43	V8	47	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31117	geb	V8	48	V8	52	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31498	o	V8	53	V8	57	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31016	H	V8	58	V8	62	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31334	r	V8	63	V8	67	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31157	n	V8	68	V8	72	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31280	durch	V8	73	V8	77	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31210	den	V8	78	V8	82	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31455	Courier	V8	83	V8	87	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	14	zi	V8	88	V9	1	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31307	n	V9	2	V9	6	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	99	er	V9	7	V9	8	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31448	zu	V9	9	V9	13	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31320	erst	V9	14	V9	18	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31090	at	V9	19	V9	23	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31300	te/ten/ter	V9	24	V9	28	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	8		V9	29	V9	29	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	8		V9	30	V9	30	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	31210	den	V9	31	V9	35	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31070	fr/Bericht	V9	36	V9	40	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	94	mit	V9	41	V9	42	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31457	viel	V9	43	V9	47	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31222	m	V9	48	V9	52	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31342	ver	V9	53	V9	57	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	899	[B→A]	V9	58	V9	60	H	1752 Clavis Secunda, numeric (R1698 I7486 P3), 800 column: 899 indic. Clav. Primam
A	31427	lan/lang/lau?	V9	61	V9	65	M	uncertain handwriting or selected reading; see key-evidence.json
A	31240	en	V9	66	V9	70	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31113	en	V9	71	V9	75	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	62	t	V9	76	V9	77	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31115	gege	V9	78	V10	3	M	longer ge-variant, checked against alphabetical/numerical copies
A	95	n	V10	4	V10	5	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31154	s	V10	6	V10	10	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31247	eh	V10	11	V10	15	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V10	16	V10	16	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	8		V10	17	V10	17	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31443	so	V10	18	V10	22	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31264	brauch	V10	23	V10	27	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31130	in	V10	28	V10	32	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	52	des/den	V10	33	V10	34	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31272	nicht	V10	35	V10	39	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V10	40	V10	40	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31101	be	V10	41	V10	45	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31368	s	V10	46	V10	50	I	proposed digit repair or token boundary after deletion; see emendations.json
A	31413	er	V10	51	V10	55	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V10	56	V10	56	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31429	es	V10	57	V10	61	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31318	ein	V10	62	V10	66	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31424	rath	V10	67	V10	71	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	69	als	V10	72	V10	73	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31130	in	V10	74	V10	78	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31293	dem	V10	79	V11	1	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31325	ber	V11	2	V11	6	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31062	ei	V11	7	V11	11	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	62	t	V11	12	V11	13	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31154	s	V11	14	V11	18	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31112	ein	V11	19	V11	23	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31115	ge	V11	24	V11	28	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V11	29	V11	29	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31271	sch	V11	30	V11	34	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31127	la	V11	35	V11	39	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31342	gen	V11	40	V11	44	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31058	en	V11	45	V11	49	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31391	we?	V11	50	V11	54	M	uncertain handwriting or selected reading; see key-evidence.json
A	31406	eg	V11	55	V11	59	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31314	fo	V11	60	V11	64	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	90	r	V11	65	V11	66	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31257	t	V11	67	V11	71	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V11	72	V11	72	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31394	zu/zeig	V11	73	V11	77	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31158	fa	V11	78	V11	82	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31116	h	V11	83	V11	87	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31085	ren	V11	88	V12	4	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	30000	und	V12	5	V12	9	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31047	den	V12	10	V12	14	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V12	15	V12	15	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31466	wa	V12	16	V12	20	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31136	l	V12	21	V12	25	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V12	26	V12	26	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31443	so	V12	27	V12	31	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31492	viel	V12	32	V12	36	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31218	nur	V12	37	V12	41	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31170	im	V12	42	V12	46	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31210	mer	V12	47	V12	51	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V12	52	V12	52	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31263	mög/lich	V12	53	V12	57	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	70	durch	V12	58	V12	59	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31106	der	V12	60	V12	64	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31099	o	V12	65	V12	69	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	99	[g]	V12	70	V12	71	I	contextual emendation; not a universal historical99 mapping
A	31271	sch	V12	72	V12	76	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31119	i	V12	77	V12	81	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31315	ck	V12	82	V13	1	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31262	te	V13	2	V13	6	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31447	s	V13	7	V13	11	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31060	ben	V13	12	V13	16	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V13	17	V13	17	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31247	eh	V13	18	V13	22	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31210	mer	V13	23	V13	27	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31394	zu/zeig	V13	28	V13	32	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31484	wei	V13	33	V13	37	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V13	38	V13	38	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31413	er	V13	39	V13	43	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31240	en	V13	44	V13	48	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31184	ver	V13	49	V13	53	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31500	trau	V13	54	V13	58	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31058	en	V13	59	V13	63	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31326	aus	V13	64	V13	68	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31451	ser	V13	69	V13	73	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31462	ung	V13	74	V13	78	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31089	zu	V13	79	V14	2	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31184	ver	V14	3	V14	7	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		V14	8	V14	8	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31263	mög/lich	V14	9	V14	13	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	883	[cipher ends]	V14	14	V14	16	I	assumed framing or displaced punctuation boundary; see emendations.json
