table	code	root	start_line	start_digit	end_line	end_digit	grade	qualification
A	31033	ge	R4	54	R4	58	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31271	sch	R4	59	R4	63	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31079	i	R4	64	R4	68	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31315	ck	R4	69	R4	73	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		R4	74	R4	74	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	62	t	R4	75	R4	76	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	69	als	R4	77	R4	78	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31287	vor	R4	79	R4	83	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31073	sich	R4	84	R5	1	I	proposed digit repair or token boundary after deletion; see emendations.json
A	31399	ti	R5	2	R5	6	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	99	[g]	R5	7	R5	8	I	contextual emendation; not a universal historical99 mapping
A	31318	ein	R5	9	R5	13	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		R5	14	R5	14	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31115	ge	R5	15	R5	19	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31169	le	R5	20	R5	24	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31119	i	R5	25	R5	29	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31164	te	R5	30	R5	34	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31262	te	R5	35	R5	39	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31408	hand	R5	40	R5	44	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31078	nun	R5	45	R5	49	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31210	mer	R5	50	R5	54	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31116	h	R5	55	R5	59	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31428	ro	R5	60	R5	64	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31170	im	R5	65	R5	69	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31210	mer	R5	70	R5	74	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31383	off	R5	75	R5	79	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31089	zu	R5	80	R5	84	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31211	be	R5	85	R5	89	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31382	halt	R5	90	R5	94	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	30000	und	R5	95	R6	1	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31293	dem	R6	2	R6	6	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31471	Spanien	R6	7	R6	11	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31306	hoff	R6	12	R6	16	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31197	bi	R6	18	R6	22	I	proposed digit repair or token boundary after deletion; see emendations.json
A	31394	zu/zeig	R6	24	R6	28	I	proposed digit repair or token boundary after deletion; see emendations.json
A	31380	solch	R6	29	R6	33	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31216	resolution	R6	34	R6	38	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31058	en	R6	39	R6	43	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31089	zu	R6	44	R6	48	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		R6	49	R6	49	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31171	ver?	R6	50	R6	54	M	uncertain handwriting or selected reading; see key-evidence.json
A	31263	mög/lich	R6	55	R6	59	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	01	die	R6	60	R6	61	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31240	en	R6	62	R6	66	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	62	t	R6	67	R6	68	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31163	weder	R6	69	R6	73	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31293	dem	R6	74	R6	78	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31036	Krieg	R6	79	R6	83	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31318	ein	R6	84	R6	88	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31184	ver	R6	89	R6	93	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31372	gn	R6	94	R6	98	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31168	u	R6	99	R7	3	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31350	gl	R7	4	R7	8	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31121	ich	R7	9	R7	13	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31490	re	R7	14	R7	18	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	69	als	R7	19	R7	20	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	01	die	R7	21	R7	22	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31106	der	R7	23	R7	27	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31208	mahl	R7	28	R7	32	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31228	ig	R7	33	R7	37	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	8		R7	38	R7	38	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
A	31115	ge	R7	39	R7	43	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31075	st	R7	44	R7	48	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31359	al	R7	49	R7	53	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	62	t	R7	54	R7	55	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31041	ist	R7	56	R7	60	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31333	geben	R7	61	R7	65	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	21	oder	R7	66	R7	67	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31303	uns	R7	68	R7	72	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31318	ein	R7	73	R7	77	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
A	31061	er	R7	78	R7	82	H	1752 Clavis Prima, numeric (R1698 I7484 P1)
