id	cipher	plain	evidence
E01	17 n 18 19 y 25	gallus	R1889 P1 L16; R954 P2 top cancelled clause cum Gallo and marginal cipher 17 n 18 19 y 25; nominative Gallus inferred from cipher, draft ablative revised
E02	q p 16 11 t	regia	R1889 P1 L17; R954 P2 cancelled top clause vexilla regia; case differs
E03	10 f 7	hoc	R1889 P1 L19; R954 P2 right praesidium hoc regium
E04	18 f x 12 31	locis	R1889 P1 L20; R954 P2 right locisque
E06	m 19 p x 37 f i 15 26	electoris	R1889 P1 L24; R954 P2 right Electoris
E07	18 f x 24 31	locis	R1889 P2 L03; R954 P2 right locis
E08	4 15 5 2 12 7 y 19 34 m q	difficulter	R1889 P2 L03; R954 P2 right difficulter
E09	7 f 22 x 6 3 15	concedi	R1889 P2 L03-04; draft R954 P2 concedi; symbol 22 confirmed in scan independently of source 2?
